Date,MV_35952H601,MV_AAPL,MV_AMD,MV_AMZN,MV_CVS,MV_EBAY,MV_FCEL,MV_GOOGL,MV_IYW,MV_MAR,MV_MSFT,MV_NEE,MV_NFLX,MV_NVDA,MV_SCWO,MV_TSLA,MV_XOM,portfolio_value,cash_balance,total_value,cash_balance_clean,total_value_clean,cumulative_deposits
2025-06-27,0.0,200.65753173828125,0.0,223.3000030517578,134.40342712402344,0.0,5.51000022888183,178.25387573242188,343.431884765625,0.0,0.0,139.74574279785156,0.0,1577.3231506347656,37.400000393390656,323.6300048828125,322.2957000732422,3485.9513214230537,0.0,3485.9513214230537,2169.03,5654.981321423054,-66.01000000000045
2025-06-30,0.0,204.7389373779297,0.0,219.38999938964844,135.36502075195312,0.0,5.610000133514398,175.95741271972656,346.4309387207031,0.0,0.0,136.84793090820312,0.0,1579.7230529785156,35.19999921321869,317.6600036621094,317.64012908935547,3474.5634249448776,0.0,3474.5634249448776,2169.03,5643.593424944878,-66.01000000000045
2025-07-01,0.0,207.3833770751953,0.0,220.4600067138672,136.5424346923828,0.0,5.219999790191644,175.56802368164062,342.6521301269531,0.0,0.0,144.02346801757812,0.0,1532.828369140625,25.30000045895576,300.7099914550781,321.8831634521484,3412.570964604616,0.0,3412.570964604616,2169.03,5581.600964604617,-66.01000000000045
2025-07-02,0.0,211.99366760253903,0.0,219.9199981689453,130.6945343017578,0.0,5.320000171661371,178.3636932373047,346.3110046386719,0.0,0.0,143.9446258544922,0.0,1572.3237609863281,20.899999737739563,315.6499938964844,327.2164764404297,3472.637755036354,0.0,3472.637755036354,2169.03,5641.667755036355,-66.01000000000045
2025-07-03,0.0,213.10134887695312,0.0,223.41000366210935,132.3233184814453,0.0,5.499999999999994,179.2523193359375,350.9095153808594,0.0,0.0,145.6399383544922,0.0,1593.221435546875,23.099999278783788,315.3500061035156,330.60500335693354,3512.412888377905,0.1,3512.512888377905,2169.13,5681.542888377905,-66.01000000000045
2025-07-07,0.0,209.50889587402344,0.0,223.47000122070312,130.85153198242188,0.0,5.210000038146966,176.5165557861328,348.3303527832031,0.0,0.0,147.35498046875,0.0,1582.2227478027344,20.899999737739563,293.94000244140625,327.3932647705078,3465.6983329057693,0.1,3465.7983329057693,2169.13,5634.8283329057695,-66.01000000000045
2025-07-08,0.0,209.5687713623047,0.0,219.36000061035156,131.36175537109375,0.0,5.300000190734857,174.09031677246094,349.6299133300781,0.0,0.0,142.8406982421875,0.0,1599.8207092285156,22.000000327825543,297.80999755859375,336.4686813354492,3488.2508443295956,0.1,3488.3508443295955,2169.13,5657.380844329596,-66.01000000000045
2025-07-09,0.0,210.69639587402344,0.0,222.5399932861328,130.81228637695312,0.0,5.599999904632562,176.34681701660156,352.4890441894531,0.0,0.0,145.18655395507812,0.0,1628.6175537109375,22.000000327825543,295.8800048828125,335.31955718994146,3525.4882067143917,0.1,3525.5882067143916,2169.13,5694.618206714392,-66.01000000000045
2025-07-10,0.0,211.96372985839844,0.0,222.2599945068359,128.77142333984375,0.0,5.739999771118158,177.34527587890625,351.32940673828125,0.0,0.0,147.1381378173828,0.0,1640.8161926269531,22.000000327825543,309.8699951171875,338.64914703369146,3555.883303016424,0.1,3555.983303016424,2169.13,5725.013303016424,-66.01000000000045
2025-07-11,0.0,210.7163543701172,0.0,225.02000427246097,127.12300109863281,0.0,5.369999885559076,179.91131591796875,350.0498046875,0.0,0.0,146.6650390625,0.0,1649.0151977539062,20.899999737739563,313.510009765625,340.1224365234375,3568.403163075447,0.1,3568.503163075447,2169.13,5737.533163075447,-66.01000000000045
2025-07-14,0.0,208.1816864013672,0.0,225.69000244140625,126.29881286621094,0.0,5.249999999999994,181.2791748046875,350.3896789550781,0.0,0.0,147.92666625976562,0.0,1640.5162048339844,22.000000327825543,316.8999938964844,335.673110961914,3560.105331748724,0.1,3560.205331748724,2169.13,5729.235331748724,-66.01000000000045
2025-07-15,0.0,208.6706695556641,0.0,226.3500061035156,125.474609375,0.0,5.13999986648559,181.718505859375,353.4287414550781,0.0,0.0,147.2564239501953,0.0,1706.8086242675781,20.899999737739563,310.7799987792969,332.6970977783203,3619.2246767282486,0.1,3619.3246767282485,2169.13,5788.354676728249,-66.01000000000045
2025-07-16,0.0,209.71847534179688,0.0,223.19000244140625,125.1998748779297,0.0,4.989999771118159,182.68701171875,354.1684875488281,0.0,0.0,147.3944091796875,0.0,1713.5079956054688,22.000000327825543,321.6700134277344,330.6934204101563,3635.2196906507015,0.1,3635.3196906507014,2169.13,5804.349690650702,-66.01000000000045
2025-07-17,0.0,209.57875061035156,0.0,223.8800048828125,124.21868133544922,0.0,5.159999847412104,183.29605102539065,357.2675476074219,0.0,0.0,148.20263671875,0.0,1729.8062133789062,25.30000045895576,319.4100036621094,329.0138854980469,3655.133775025606,0.1,3655.233775025606,2169.13,5824.263775025606,-66.01000000000045
2025-07-18,0.0,210.73631286621097,0.0,226.1300048828125,121.5890884399414,0.0,5.309999942779535,184.77377319335935,357.3275146484375,0.0,0.0,149.72055053710938,0.0,1723.9068603515625,23.099999278783788,329.6499938964844,317.5517120361328,3649.795810073614,0.1,3649.895810073614,2169.13,5818.925810073614,-66.01000000000045
2025-07-21,0.0,212.0335693359375,0.0,229.3000030517578,120.96113586425781,0.0,5.360000133514398,189.8059844970703,358.3072204589844,0.0,0.0,150.15423583984375,0.0,1713.6080932617188,24.19999986886978,328.489990234375,318.3767623901367,3650.596994936466,0.1,3650.696994936466,2169.13,5819.726994936466,-66.01000000000045
2025-07-22,0.0,213.94955444335935,0.0,227.47000122070312,121.16943359375,0.0,5.73000001907348,191.04405212402344,354.7483215332031,0.0,0.0,152.8549346923828,0.0,1670.1129150390625,28.599998950958245,332.1099853515625,319.820571899414,3617.6097688674927,0.1,3617.7097688674926,2169.13,5786.739768867493,-66.01000000000045
2025-07-23,0.0,213.7000732421875,0.0,228.2899932861328,122.69693756103516,0.0,5.8899998664855895,189.9357757568359,357.047607421875,0.0,0.0,143.5503692626953,0.0,1707.608642578125,28.599998950958245,332.55999755859375,323.91629791259766,3653.795693397522,0.1,3653.895693397522,2169.13,5822.925693397522,-66.01000000000045
2025-07-24,0.0,213.31088256835935,0.0,232.22999572753903,116.5472183227539,0.0,5.659999847412103,191.8727569580078,358.8270263671875,0.0,0.0,141.874755859375,0.0,1737.2053527832031,28.599998950958245,305.29998779296875,326.4503631591797,3657.8783383369446,0.1,3657.9783383369445,2169.13,5827.008338336945,-66.01000000000045
2025-07-25,0.0,213.43064880371097,0.0,231.44000244140625,120.41559600830078,0.0,5.619999885559076,192.88119506835935,359.8467102050781,0.0,0.0,141.63819885253906,0.0,1734.8056030273438,28.599998950958245,316.05999755859375,325.3011932373047,3670.039144039154,0.1,3670.139144039154,2169.13,5839.169144039154,-66.01000000000045
2025-07-28,0.0,213.6002960205078,0.0,232.7899932861328,118.31278228759766,0.0,5.2699999809265075,192.2821350097656,362.46588134765625,0.0,0.0,140.63284301757812,0.0,1767.3019409179688,27.5,325.5899963378906,328.3656463623047,3714.111514568329,0.1,3714.2115145683288,2169.13,5883.241514568329,-66.01000000000045
